on x=-22..28,y=-12..37,z=-34..11
on x=52927..63056,y=-20945..13569,z=50274..69604
on x=29639..47649,y=51463..74979,z=29464..61363
on x=-62445..-46494,y=39646..59555,z=-47592..-26239
on x=-30926..-7219,y=-76422..-53700,z=19664..37575
on x=8068..25595,y=-15448..15190,z=-95311..-75741
on x=-2315..14899,y=-94702..-78498,z=6767..13841
on x=52658..77574,y=-1925..7965,z=37088..62731
on x=-71749..-51034,y=-41036..-23998,z=-25383..-2310
on x=-72935..-52021,y=4145..31708,z=28168..44264
on x=-38524..-29058,y=54203..87398,z=-4270..8719
on x=-18458..-547,y=-41938..-28075,z=55353..85466
on x=63334..86680,y=-8977..5737,z=3089..23619
on x=-76522..-51279,y=51711..63609,z=-1119..11074
on x=43978..67672,y=-46119..-36350,z=-54348..-32116
on x=-61977..-39979,y=48805..66908,z=-4087..15443
on x=-38393..-15142,y=34482..45895,z=51707..73387
on x=-15098..5245,y=64504..86193,z=11660..42572
on x=20462..32546,y=67335..88945,z=-23808..-12174
on x=-45710..-29866,y=-48713..-40225,z=36191..72881
on x=-80647..-72347,y=6003..19378,z=6018..26968
on x=-30135..-907,y=-40352..-17385,z=-74550..-69713
on x=25651..40752,y=25704..44767,z=-69419..-53995
on x=-65351..-49165,y=-665..33203,z=-58077..-53439
on x=27847..41886,y=-57196..-51432,z=-60041..-31392
on x=-74571..-65726,y=18936..34595,z=-14994..8307
on x=3420..18201,y=59080..63744,z=-50796..-37402
on x=-59725..-52919,y=25233..56324,z=36770..52550
on x=25084..37742,y=-22473..13416,z=61111..89517
on x=-31123..-9929,y=-38982..-28408,z=-76197..-54610
on x=26239..39855,y=-67171..-50065,z=34490..46827
on x=-31113..-2705,y=59178..87794,z=8623..21865
on x=64246..81862,y=13839..27162,z=-37512..803
on x=-38914..-20811,y=-35350..-18517,z=62773..89363
on x=-79546..-58914,y=39361..40589,z=-23746..-1521
on x=-92264..-60845,y=-16477..-4211,z=-34296..-15581
on x=-81598..-55814,y=-8529..14390,z=-50600..-33531
on x=50748..66514,y=56968..76774,z=-9752..13820
on x=-80025..-55789,y=-41134..-19361,z=28348..54979
on x=-28896..-19805,y=-68202..-37931,z=49748..61021
on x=57234..73263,y=-37712..-1405,z=13150..46160
on x=7376..29616,y=-8620..20535,z=-83248..-62090
on x=44553..56109,y=32850..57714,z=25785..52790
on x=-7717..25102,y=-7725..12431,z=59010..93276
on x=-3663..20480,y=31992..48881,z=-80967..-61519
on x=-54684..-38284,y=33082..51001,z=-47536..-31488
on x=-24421..-10049,y=-73142..-50307,z=-47158..-25659
on x=41005..51559,y=54743..68960,z=-32157..-19293
on x=-8763..26625,y=66264..86593,z=-57863..-26158
on x=39695..57854,y=-10327..960,z=-81724..-65077
on x=41233..63655,y=-37542..-11744,z=-67651..-49824
on x=-18469..-14312,y=36071..63118,z=56475..75090
on x=-28731..-15639,y=-72916..-60994,z=17355..48092
on x=-29016..-17872,y=1691..28301,z=-80313..-74087
on x=-24861..-2063,y=-29881..-11428,z=-74927..-54438
on x=-2908..8218,y=68593..71825,z=-42304..-36475
on x=27546..51021,y=4696..22461,z=56219..85387
on x=39005..55338,y=48826..72635,z=-24709..-1
on x=47727..73855,y=-63059..-41116,z=-9038..23091
on x=-19884..6774,y=-33156..-8931,z=72725..87601
on x=-72461..-53556,y=-27699..-14981,z=19211..41822
on x=63249..81403,y=-40188..-14765,z=6931..37685
on x=63142..82981,y=-25106..-3270,z=20101..29453
on x=31130..58947,y=3173..21337,z=-74916..-68397
on x=-58714..-42813,y=11593..34345,z=34118..58810
on x=-49518..-27875,y=-29607..-21358,z=-75178..-53370
on x=69461..77175,y=15448..36416,z=-34182..-22402
on x=35551..54657,y=-69428..-42048,z=-17045..6812
on x=27635..38793,y=45411..69203,z=-50135..-43361
on x=16688..38446,y=-61396..-37075,z=-64966..-31030
on x=-35814..-19493,y=63372..81491,z=27500..54462
on x=10356..30411,y=-74284..-55629,z=39846..45049
on x=-38328..-4710,y=64415..79565,z=-43116..-22145
on x=-29835..-5671,y=-90310..-76428,z=277..1869
on x=48292..76832,y=37381..49402,z=34886..43306
on x=19066..33779,y=-3597..8757,z=-76149..-71976
on x=-26733..-12570,y=-35681..-26828,z=62655..71618
on x=50628..68591,y=-51527..-24729,z=25316..59839
on x=59379..62742,y=-57334..-46510,z=3134..10600
on x=55393..77648,y=4221..37143,z=44784..65699
on x=-15390..-5126,y=-3381..11074,z=73410..86424
on x=-26889..-7086,y=-77791..-41328,z=-66410..-29235
on x=-43347..-21552,y=57590..64785,z=28677..49316
on x=-67247..-37242,y=-28533..-8487,z=-69945..-48320
on x=-2207..27139,y=71426..90772,z=11875..24958
on x=-7365..22762,y=-96133..-73290,z=-30621..-6784
on x=44813..66334,y=-20573..-2018,z=-64230..-53722
on x=51196..58944,y=-60144..-41259,z=18880..45821
on x=-60386..-32399,y=-36568..-12315,z=40586..67416
on x=-665..20331,y=-17403..-11184,z=-87940..-72839
off x=32946..48821,y=-28974..-15614,z=64401..84617
on x=-55785..-28569,y=65269..75512,z=-21176..-6442
off x=32390..46916,y=-82938..-68118,z=-13863..21900
off x=53888..71942,y=-46568..-32979,z=-34248..-19326
off x=-81837..-78163,y=-5392..9087,z=-2450..18903
off x=21995..44453,y=-40185..-33499,z=62135..76283
on x=10308..40463,y=59540..77174,z=-61333..-36739
off x=-94177..-61603,y=-22758..11823,z=-38788..-12954
on x=53438..75655,y=25126..43060,z=-14518..7932
on x=-19531..3177,y=4045..27930,z=-94265..-64178
off x=-77480..-62456,y=41988..53394,z=-3296..5224
on x=17779..35549,y=-83981..-44676,z=24943..61118
on x=-71879..-58513,y=11898..41686,z=-30305..-14377
on x=49017..68249,y=-15129..18976,z=48060..66574
on x=-11838..7348,y=47553..63542,z=-67414..-47164
on x=29088..44545,y=-50912..-15959,z=-70395..-57574
off x=-43388..-23603,y=45905..62609,z=27676..53750
off x=8215..38810,y=62437..78852,z=-38209..-33224
on x=-64059..-27171,y=-60727..-35326,z=-61026..-43427
off x=20457..53119,y=-60711..-47679,z=23184..55606
on x=-70978..-46394,y=-65589..-44877,z=-10372..7338
on x=-59744..-39936,y=48445..55988,z=-44347..-26762
on x=-36717..-8107,y=26844..43311,z=-80832..-66912
off x=72293..96031,y=3700..25701,z=-37561..-4131
on x=-15500..16913,y=-79205..-68966,z=-39173..-4379
off x=-756..21231,y=10628..37269,z=73578..82977
on x=32058..55455,y=-6957..7461,z=45838..80279
off x=-24364..-772,y=-85720..-66735,z=-48781..-36855
on x=46435..56654,y=43815..66941,z=-25404..-13767
off x=-88068..-77674,y=-10771..13874,z=-12402..-4509
on x=-89131..-61902,y=-26569..-6043,z=-27916..-14242
on x=32210..52737,y=-40074..-9230,z=42872..76038
on x=56737..79302,y=24768..45359,z=-19322..4672
on x=1759..24409,y=46620..57152,z=-71066..-48445
on x=35478..60734,y=-39693..-22719,z=41724..51793
on x=42961..64758,y=-12522..3554,z=52646..69182
on x=-11351..-502,y=-40082..-24124,z=-75980..-63117
off x=-40962..-6900,y=-5118..14251,z=-82423..-57286
on x=-49095..-30797,y=1882..6948,z=-83530..-55361
off x=-37135..-22299,y=-90205..-63314,z=-24970..4150
on x=66749..74930,y=-44446..-9795,z=-16854..-4579
on x=-63254..-52331,y=-68192..-44209,z=-35685..-8323
on x=-78284..-55858,y=-43922..-30639,z=18437..29177
off x=54114..79875,y=-17857..-2753,z=34356..52806
on x=-4442..14186,y=29328..43813,z=-80985..-51107
off x=-58292..-34166,y=35200..44230,z=-69669..-55147
on x=18045..42192,y=-78983..-70509,z=1260..35570
on x=37675..59839,y=-51270..-39433,z=-37248..-29925
off x=-22757..-7114,y=-84027..-59378,z=-24973..-14829
on x=24241..36320,y=52369..65837,z=31303..51099
off x=5979..23857,y=9333..31171,z=-87793..-57399
off x=49574..65617,y=-38214..-7290,z=-50479..-28030
off x=-73979..-66980,y=-798..7274,z=-45325..-25314
on x=-8945..-1295,y=-59463..-41375,z=52225..73615
off x=18015..39217,y=32056..50406,z=-75587..-63271
on x=-53213..-30694,y=-55350..-31907,z=49198..70681
on x=-9682..8872,y=-52795..-28009,z=-82757..-59017
off x=-83110..-67560,y=-37952..-10775,z=-19407..13655
on x=-39964..-17588,y=52065..72360,z=4014..37773
off x=56122..79842,y=-5178..21833,z=31724..59969
on x=-20183..-4251,y=-12930..11778,z=77653..97600
off x=31458..67825,y=9649..32029,z=41670..71827
on x=-47523..-37181,y=-9554..-5366,z=-71284..-54135
off x=-79907..-51809,y=-39505..-26324,z=-21886..8622
on x=-49722..-26739,y=-4492..20265,z=-80362..-69563
off x=30956..62691,y=22770..49749,z=57837..73923
off x=63665..78972,y=-9429..11537,z=-61063..-23216
off x=22797..28866,y=-83267..-52609,z=-50008..-23447
off x=-9433..6781,y=-15625..9568,z=72480..99132
on x=-39178..-2942,y=61606..79222,z=-12921..17911
on x=-27409..-12810,y=-52323..-14724,z=70950..84284
off x=25852..56927,y=-36323..-17730,z=-59374..-41271
on x=-25411..1430,y=-71359..-48805,z=-54737..-38627
off x=14921..35377,y=-63995..-41674,z=42383..70707
on x=-81958..-63608,y=22908..36352,z=28840..42388
off x=16786..42211,y=-73540..-54273,z=24103..37846
on x=6690..26003,y=-68391..-40681,z=-57692..-53952
off x=61396..83789,y=17549..42812,z=30784..43751
on x=64100..88074,y=14435..30275,z=-26170..-9208
off x=-21535..-16329,y=43013..49150,z=-80307..-58327
off x=43392..60791,y=-67760..-57740,z=-3562..18983
on x=53803..85117,y=-30851..-20415,z=11800..29393
off x=-60548..-44088,y=-74749..-57558,z=-16897..-13294
on x=-49335..-21672,y=-28001..3992,z=58205..86850
on x=71619..75833,y=-41210..-28321,z=-3506..23850
on x=-59162..-51706,y=-50779..-26256,z=-49407..-29710
on x=-52052..-32903,y=16989..38661,z=-62750..-44298
on x=27603..37228,y=-16325..-9791,z=51369..78290
off x=-79181..-55186,y=26844..41675,z=-48211..-20069
on x=-13372..-2778,y=-87434..-58366,z=13997..33615
off x=-15866..1555,y=47047..63001,z=42221..60961
on x=36372..49160,y=29641..52191,z=50265..54610
off x=-50..22846,y=24999..49002,z=-90397..-70826
off x=-53637..-33631,y=-70839..-47506,z=-40320..-30176
on x=57782..80982,y=-13986..8709,z=-42185..-18601
on x=-51683..-23658,y=-6359..15179,z=-75206..-63727
off x=370..30490,y=44410..64293,z=49151..65936
off x=46915..58565,y=-69733..-44180,z=-41213..-17210
on x=28837..55823,y=-13583..10313,z=-85499..-50397
on x=45884..74879,y=4208..23505,z=-57225..-37365
on x=-16055..2075,y=-98025..-64232,z=404..15021
off x=-6697..-284,y=-52120..-14644,z=61108..88330
on x=-73126..-42133,y=-14478..-770,z=-67159..-42210
on x=-78746..-55031,y=21688..48503,z=-43668..-17650
off x=13011..19587,y=-76531..-58192,z=-21056..-6942
on x=-3906..16882,y=38223..63854,z=-65796..-44021
off x=75643..77858,y=-402..29624,z=-29755..-2860
on x=18431..37928,y=-50506..-31706,z=65280..75113
on x=-82626..-59287,y=-50984..-29586,z=-15689..-4450
on x=35196..53027,y=26428..54765,z=57751..62588
off x=23336..31485,y=-1303..18746,z=-94682..-64565
on x=-3825..10918,y=-98053..-71932,z=865..16121
off x=42549..65012,y=26302..54316,z=35324..58055
off x=-30637..-826,y=69704..92482,z=8957..37872
on x=9789..45193,y=-58252..-25098,z=55030..75560
on x=-9204..9530,y=71096..78338,z=20937..35152
off x=49102..65728,y=27717..54106,z=-51279..-22263
off x=-73112..-53014,y=-17888..2555,z=34313..45513
off x=19481..39159,y=-19753..16672,z=-84120..-70512
off x=29245..51208,y=55393..75349,z=-26693..-9367
off x=-32408..-12470,y=-86513..-71371,z=11659..34621
on x=3836..19984,y=72474..77290,z=28159..42009
off x=-65810..-45330,y=-40192..-17201,z=-36860..-23230
on x=8693..27534,y=-32382..-13972,z=58478..81189
on x=-43704..-20018,y=-33808..-23372,z=-78637..-61326
off x=51547..78372,y=12517..15861,z=30172..52291
on x=-33603..-11175,y=-36898..-7873,z=-90188..-68980
off x=68965..88379,y=-35199..-18501,z=-16736..13433
off x=-92562..-58792,y=-20585..-13928,z=7579..22007
on x=-15258..-2610,y=69924..96628,z=-12430..15797
off x=-30519..-8339,y=-12995..4240,z=63439..83735
off x=-17707..10709,y=-26922..-18807,z=-96558..-63936
off x=15322..27787,y=26350..47801,z=-67802..-46180
off x=-84914..-54768,y=6968..34294,z=17631..34799
on x=-7598..17160,y=37828..54405,z=-76895..-51602
on x=11668..34456,y=40686..60885,z=-53707..-42575
off x=-32256..-12704,y=-78957..-51139,z=-54900..-19346
off x=19575..33292,y=-76785..-58856,z=-24794..-8650
on x=-12555..10431,y=76180..91052,z=-7974..2379
on x=-39693..-14106,y=7322..18221,z=-78159..-74632
off x=-66375..-51676,y=-66860..-34841,z=-39129..-8655
off x=-17258..-10828,y=12607..37266,z=61514..85164
off x=-33610..-11456,y=-84257..-56108,z=-23442..-7294
on x=14531..43763,y=53525..64606,z=-63336..-35807
off x=-70597..-55320,y=-41967..-24265,z=25101..39095
on x=-49603..-26677,y=-13219..1867,z=66460..87923
off x=-60096..-23074,y=-70199..-42821,z=22480..37880
off x=40348..69827,y=-51515..-33466,z=-52295..-34043
off x=20389..44646,y=28477..41577,z=-72555..-44667
on x=33741..54867,y=-36670..-7776,z=-72049..-55244
on x=10950..46532,y=-54829..-45911,z=-73274..-40618
on x=-67960..-44819,y=-45382..-24321,z=30618..47707
on x=-58662..-48729,y=-65642..-29405,z=-56128..-29636
on x=49272..79011,y=38939..52493,z=20586..30187
off x=43410..60801,y=-61935..-34193,z=-32036..-22862
on x=30969..60898,y=33040..50806,z=35073..57010
off x=37114..59569,y=-71501..-44738,z=11340..32549
off x=52829..76198,y=7688..34836,z=-67073..-40835
off x=-92186..-63748,y=-11890..20416,z=-11446..1644
on x=67652..84380,y=-40733..-18056,z=24324..41742
on x=-62702..-39426,y=-43457..-16012,z=-69221..-51945
on x=-73660..-53500,y=27383..37368,z=2421..23275
on x=-77487..-46062,y=-50070..-24177,z=-47875..-27262
on x=-945..14054,y=-49971..-42857,z=-76052..-46001
on x=-43003..-22308,y=58137..82894,z=19469..47327
off x=19774..38418,y=-33987..-16275,z=-69339..-64365
on x=-21207..4193,y=-7234..-2286,z=-85723..-60361
on x=72912..88857,y=2552..35986,z=20898..28896
on x=54225..89222,y=15996..40989,z=-44532..-13768
on x=-65712..-61563,y=-49387..-24770,z=-44808..-18999
on x=-69404..-48271,y=-68838..-43356,z=-7999..13427
on x=-14554..-6184,y=67577..76141,z=25618..45348
off x=17080..39490,y=54822..76095,z=-33504..-20429
off x=72126..88153,y=-25075..-2924,z=-35655..-21906
off x=-9585..24318,y=-79462..-62167,z=36467..45387
on x=50711..62365,y=8410..24520,z=44319..69714
off x=26163..48176,y=49270..76862,z=25486..40214
off x=-66006..-47007,y=26306..40268,z=-57257..-44008
on x=-18103..978,y=-66402..-53423,z=-58187..-49950
off x=-82231..-53929,y=-30302..-2792,z=-50350..-33862
off x=-80773..-50142,y=26085..50767,z=-37036..-5317
on x=-73412..-50645,y=-37254..-15738,z=27795..47197
on x=53256..56693,y=-27500..-12752,z=39288..60009
on x=9678..25000,y=9814..20035,z=-80762..-69083
off x=75905..77562,y=-35226..-12588,z=-23403..2007
on x=-74228..-51192,y=-60471..-47282,z=-18153..11152
on x=-88144..-65383,y=27947..50190,z=-22007..7068
on x=-57769..-30200,y=-74568..-46266,z=1997..7401
on x=-53231..-25606,y=-1090..21355,z=57688..84914
off x=3894..23908,y=-12364..22961,z=-89732..-71854
on x=-29012..-9560,y=-78082..-62997,z=-29218..-8539
off x=-35760..-28704,y=-69703..-59299,z=26665..59052
on x=-9820..-311,y=-50467..-30267,z=45150..77323
off x=-34746..-29058,y=53504..84718,z=15584..24656
off x=-80685..-48403,y=-19777..4826,z=33281..66712
on x=67395..77602,y=-46450..-19661,z=-31973..-18038
on x=-70033..-64759,y=19552..51911,z=11121..35381
off x=-73590..-42942,y=-46390..-22759,z=40874..56566
off x=-36575..-18344,y=61042..86630,z=6307..26426
off x=-46370..-27813,y=23975..41903,z=54255..72840
